Дата;Филиал;Менеджер;Продукт;Количество;Выручка;Себестоимость;Маржинальность
03.09.2025;Москва;D. Orlov;Доп. место;39;972 628,23;482 397,71;50,4%
02.01.2025;Санкт-Петербург;M. Ivanova;Доп. место;34;1 504 987,86;756 207,18;49,8%
11.07.2025;Москва;S. Kim;Тариф Про;28;669 151,86;391 909,49;41,4%
20.04.2025;Санкт-Петербург;L. Chen;Тариф Команда;15;226 893,91;149 698,86;34,0%
18.06.2025;Екатеринбург;D. Orlov;Доп. место;2;66 878,57;40 868,12;38,9%
20.03.2025;Казань;S. Kim;Тариф Базовый;5;63 265,93;26 031,20;58,9%
12.03.2025;Санкт-Петербург;L. Chen;Тариф Про;35;951 207,11;470 294,92;50,6%
21.08.2025;Москва;M. Ivanova;Доп. место;13;263 043,65;143 349,78;45,5%
29.03.2025;Москва;M. Ivanova;Тариф Базовый;28;507 295,74;254 330,60;49,9%
09.06.2025;Санкт-Петербург;S. Kim;Тариф Команда;36;707 793,01;327 502,05;53,7%
30.03.2025;Москва;S. Kim;Доп. место;3;23 367,07;10 894,83;53,4%
05.04.2025;Екатеринбург;A. Petrov;Тариф Про;23;935 065,07;380 893,83;59,3%
07.06.2025;Санкт-Петербург;D. Orlov;Тариф Команда;40;767 223,49;519 609,88;32,3%
05.05.2025;Новосибирск;S. Kim;Тариф Базовый;28;495 636,90;210 377,61;57,6%
06.03.2025;Екатеринбург;D. Orlov;Тариф Команда;3;3 181,24;2 607,83;18,0%
15.06.2025;Москва;A. Petrov;Доп. место;34;155 841,98;131 017,31;15,9%
04.05.2025;Новосибирск;D. Orlov;Тариф Базовый;31;249 894,90;117 878,62;52,8%
22.06.2025;Санкт-Петербург;D. Orlov;Доп. место;31;793 680,21;415 495,16;47,6%
09.06.2025;Москва;A. Petrov;Тариф Базовый;18;148 458,17;99 401,06;33,0%
22.05.2025;Казань;L. Chen;Тариф Про;8;225 713,04;107 636,33;52,3%
28.04.2025;Санкт-Петербург;L. Chen;Доп. место;29;1 133 323,55;523 276,91;53,8%
23.02.2025;Екатеринбург;L. Chen;Доп. место;12;73 845,27;33 772,51;54,3%
14.03.2025;Новосибирск;R. Silva;Тариф Про;27;731 148,77;336 291,79;54,0%
27.08.2025;Новосибирск;A. Petrov;Тариф Базовый;31;239 327,06;174 386,97;27,1%
15.03.2025;Казань;A. Petrov;Тариф Про;24;298 756,85;194 884,92;34,8%
17.04.2025;Москва;A. Petrov;Тариф Базовый;4;107 522,29;67 425,87;37,3%
12.02.2025;Новосибирск;L. Chen;Тариф Базовый;9;130 361,07;98 886,35;24,1%
20.07.2025;Санкт-Петербург;R. Silva;Тариф Базовый;8;108 752,53;87 860,80;19,2%
03.08.2025;Екатеринбург;L. Chen;Доп. место;34;80 684,48;36 980,24;54,2%
14.05.2025;Екатеринбург;S. Kim;Тариф Базовый;1;4 375,54;1 847,98;57,8%
20.04.2025;Москва;D. Orlov;Доп. место;19;743 034,18;454 966,57;38,8%
28.02.2025;Санкт-Петербург;L. Chen;Тариф Команда;10;18 126,70;13 507,91;25,5%
09.06.2025;Санкт-Петербург;L. Chen;Тариф Команда;4;102 404,87;60 726,16;40,7%
19.06.2025;Москва;A. Petrov;Тариф Про;15;623 855,79;270 464,70;56,6%
02.08.2025;Новосибирск;D. Orlov;Тариф Базовый;5;157 273,67;86 347,93;45,1%
01.08.2025;Казань;L. Chen;Тариф Команда;10;275 982,01;134 573,23;51,2%
13.05.2025;Новосибирск;R. Silva;Тариф Базовый;28;476 529,47;209 707,33;56,0%
21.02.2025;Москва;R. Silva;Тариф Про;8;126 656,53;83 477,25;34,1%
16.01.2025;Екатеринбург;R. Silva;Доп. место;32;359 721,09;197 020,25;45,2%
20.09.2025;Новосибирск;D. Orlov;Тариф Про;38;81 544,72;49 269,81;39,6%
09.10.2025;Санкт-Петербург;R. Silva;Тариф Про;6;235 726,39;124 354,71;47,2%
20.09.2025;Москва;L. Chen;Тариф Базовый;18;467 763,00;376 242,91;19,6%
15.09.2025;Москва;L. Chen;Тариф Команда;30;225 529,22;182 661,33;19,0%
23.03.2025;Новосибирск;D. Orlov;Тариф Команда;13;563 357,77;245 916,65;56,3%
16.04.2025;Новосибирск;D. Orlov;Тариф Базовый;1;15 630,28;7 712,50;50,7%
10.07.2025;Москва;S. Kim;Тариф Про;5;88 193,46;43 644,48;50,5%
20.09.2025;Москва;L. Chen;Тариф Про;6;164 866,93;116 906,99;29,1%
22.07.2025;Екатеринбург;D. Orlov;Тариф Базовый;28;929 181,71;528 106,08;43,2%
22.06.2025;Новосибирск;R. Silva;Тариф Про;18;445 200,41;183 595,78;58,8%
11.05.2025;Москва;R. Silva;Тариф Базовый;7;31 916,60;18 963,28;40,6%
16.07.2025;Екатеринбург;A. Petrov;Тариф Базовый;22;706 748,93;532 761,83;24,6%
09.09.2025;Новосибирск;A. Petrov;Тариф Команда;18;622 779,59;373 142,84;40,1%
15.04.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;23;671 652,63;509 018,20;24,2%
27.05.2025;Казань;A. Petrov;Тариф Про;5;70 862,09;56 008,91;21,0%
15.01.2025;Новосибирск;R. Silva;Доп. место;1;24 944,29;19 609,92;21,4%
19.02.2025;Казань;L. Chen;Тариф Базовый;40;1 028 821,01;813 499,67;20,9%
29.09.2025;Москва;A. Petrov;Тариф Команда;7;246 904,74;143 472,01;41,9%
01.07.2025;Екатеринбург;D. Orlov;Тариф Про;6;132 592,24;105 749,88;20,2%
05.10.2025;Екатеринбург;S. Kim;Тариф Команда;13;90 416,01;71 722,35;20,7%
28.07.2025;Санкт-Петербург;S. Kim;Тариф Команда;26;128 323,49;57 386,39;55,3%
06.06.2025;Санкт-Петербург;D. Orlov;Доп. место;21;514 499,58;398 313,18;22,6%
26.05.2025;Казань;R. Silva;Тариф Команда;33;1 374 792,97;1 106 116,85;19,5%
17.02.2025;Казань;L. Chen;Тариф Базовый;5;88 183,90;62 600,01;29,0%
15.10.2025;Екатеринбург;A. Petrov;Доп. место;33;909 742,78;486 665,36;46,5%
07.06.2025;Екатеринбург;R. Silva;Тариф Базовый;18;450 532,89;240 602,70;46,6%
29.04.2025;Новосибирск;L. Chen;Доп. место;18;784 816,79;648 347,38;17,4%
22.07.2025;Екатеринбург;D. Orlov;Доп. место;35;857 253,58;660 297,03;23,0%
18.04.2025;Новосибирск;A. Petrov;Доп. место;26;77 391,95;38 360,29;50,4%
23.04.2025;Екатеринбург;A. Petrov;Тариф Про;19;755 641,00;355 726,03;52,9%
30.09.2025;Москва;L. Chen;Тариф Базовый;7;81 106,05;42 232,87;47,9%
21.07.2025;Новосибирск;D. Orlov;Тариф Команда;13;466 476,03;205 914,71;55,9%
16.10.2025;Екатеринбург;S. Kim;Тариф Про;27;791 533,51;416 312,25;47,4%
12.09.2025;Новосибирск;A. Petrov;Доп. место;13;312 897,48;220 060,83;29,7%
26.04.2025;Новосибирск;R. Silva;Тариф Команда;9;141 875,04;85 391,57;39,8%
03.07.2025;Казань;R. Silva;Тариф Команда;38;1 418 868,01;1 175 415,91;17,2%
14.03.2025;Екатеринбург;S. Kim;Тариф Про;14;335 516,43;174 072,43;48,1%
08.06.2025;Санкт-Петербург;L. Chen;Тариф Команда;24;419 722,41;332 590,69;20,8%
20.09.2025;Санкт-Петербург;S. Kim;Тариф Про;4;119 735,74;79 485,19;33,6%
19.04.2025;Екатеринбург;A. Petrov;Тариф Команда;14;600 049,61;498 026,22;17,0%
18.04.2025;Казань;R. Silva;Тариф Команда;26;278 354,60;170 390,35;38,8%
08.06.2025;Екатеринбург;S. Kim;Тариф Команда;30;260 459,59;141 710,87;45,6%
10.08.2025;Екатеринбург;A. Petrov;Тариф Команда;28;1 198 066,18;634 888,37;47,0%
26.07.2025;Екатеринбург;A. Petrov;Тариф Команда;9;291 727,17;222 371,15;23,8%
18.05.2025;Казань;M. Ivanova;Тариф Команда;12;114 637,82;94 394,06;17,7%
14.08.2025;Москва;A. Petrov;Тариф Про;36;189 953,00;122 686,93;35,4%
15.07.2025;Москва;R. Silva;Тариф Базовый;26;523 476,97;234 976,40;55,1%
01.02.2025;Казань;D. Orlov;Тариф Команда;27;1 189 422,78;858 343,96;27,8%
31.05.2025;Новосибирск;R. Silva;Тариф Команда;19;550 641,37;277 649,26;49,6%
28.04.2025;Санкт-Петербург;M. Ivanova;Тариф Базовый;28;789 808,01;475 581,77;39,8%
20.05.2025;Екатеринбург;R. Silva;Доп. место;8;244 223,84;118 754,21;51,4%
01.06.2025;Казань;D. Orlov;Тариф Базовый;31;858 779,09;623 824,57;27,4%
19.04.2025;Новосибирск;S. Kim;Доп. место;6;94 633,49;59 134,88;37,5%
08.10.2025;Санкт-Петербург;R. Silva;Тариф Команда;39;1 692 677,91;1 428 031,66;15,6%
01.06.2025;Новосибирск;A. Petrov;Доп. место;32;140 632,45;75 400,01;46,4%
17.06.2025;Екатеринбург;R. Silva;Тариф Команда;39;334 229,41;178 738,14;46,5%
23.05.2025;Санкт-Петербург;M. Ivanova;Тариф Команда;8;253 299,12;122 295,36;51,7%
24.03.2025;Москва;A. Petrov;Доп. место;11;341 313,93;226 391,18;33,7%
25.05.2025;Москва;D. Orlov;Тариф Про;22;233 049,75;169 058,46;27,5%
31.05.2025;Екатеринбург;D. Orlov;Тариф Команда;38;1 048 721,31;865 351,17;17,5%
16.06.2025;Москва;A. Petrov;Тариф Базовый;19;178 202,18;122 331,11;31,4%
01.01.2025;Екатеринбург;D. Orlov;Доп. место;2;50 663,06;23 236,04;54,1%
08.09.2025;Казань;R. Silva;Тариф Про;29;37 465,26;30 751,19;17,9%
09.04.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;5;97 071,60;82 339,39;15,2%
13.04.2025;Казань;M. Ivanova;Тариф Команда;12;113 197,82;87 608,16;22,6%
08.10.2025;Москва;S. Kim;Тариф Про;27;485 786,75;353 270,49;27,3%
22.08.2025;Казань;M. Ivanova;Тариф Про;22;917 827,35;695 867,71;24,2%
19.03.2025;Екатеринбург;L. Chen;Тариф Команда;7;79 517,88;33 012,00;58,5%
28.07.2025;Санкт-Петербург;M. Ivanova;Тариф Про;3;39 571,40;28 426,56;28,2%
22.04.2025;Новосибирск;M. Ivanova;Тариф Базовый;29;498 460,67;377 789,16;24,2%
17.06.2025;Новосибирск;L. Chen;Доп. место;36;1 392 141,25;878 346,54;36,9%
07.04.2025;Екатеринбург;M. Ivanova;Тариф Базовый;18;498 550,82;378 703,61;24,0%
20.05.2025;Казань;R. Silva;Тариф Базовый;5;108 220,69;85 108,35;21,4%
31.01.2025;Москва;A. Petrov;Тариф Базовый;11;49 027,71;38 686,75;21,1%
01.07.2025;Москва;S. Kim;Доп. место;20;194 345,53;124 969,61;35,7%
27.10.2025;Санкт-Петербург;S. Kim;Тариф Базовый;33;540 085,24;409 808,12;24,1%
30.04.2025;Новосибирск;D. Orlov;Доп. место;32;479 820,67;286 360,38;40,3%
28.01.2025;Казань;M. Ivanova;Тариф Про;19;582 947,43;394 122,91;32,4%
20.02.2025;Казань;M. Ivanova;Тариф Команда;2;67 092,74;49 905,12;25,6%
17.06.2025;Москва;M. Ivanova;Доп. место;15;243 057,11;194 829,72;19,8%
01.02.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;37;989 637,49;574 438,51;42,0%
19.04.2025;Казань;M. Ivanova;Тариф Команда;2;47 998,80;37 081,26;22,7%
27.01.2025;Санкт-Петербург;D. Orlov;Доп. место;8;145 792,82;114 783,27;21,3%
01.10.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;36;781 865,47;541 322,81;30,8%
23.02.2025;Москва;M. Ivanova;Тариф Команда;18;43 189,60;21 355,42;50,6%
06.03.2025;Казань;A. Petrov;Тариф Про;31;1 163 222,63;773 855,19;33,5%
06.10.2025;Новосибирск;A. Petrov;Тариф Команда;18;617 825,26;485 913,33;21,4%
05.02.2025;Москва;M. Ivanova;Доп. место;26;1 017 661,11;822 589,38;19,2%
23.07.2025;Санкт-Петербург;M. Ivanova;Тариф Про;5;200 975,90;159 911,90;20,4%
26.03.2025;Санкт-Петербург;A. Petrov;Тариф Про;37;571 126,82;280 598,83;50,9%
29.01.2025;Новосибирск;R. Silva;Доп. место;17;435 746,39;358 296,00;17,8%
20.02.2025;Екатеринбург;D. Orlov;Тариф Команда;13;504 049,88;222 331,81;55,9%
02.07.2025;Новосибирск;M. Ivanova;Тариф Базовый;2;30 384,42;19 451,17;36,0%
03.01.2025;Москва;R. Silva;Тариф Про;13;476 579,01;259 348,28;45,6%
09.03.2025;Москва;A. Petrov;Доп. место;4;66 547,23;53 120,57;20,2%
23.04.2025;Казань;R. Silva;Тариф Команда;22;259 878,15;174 277,37;32,9%
14.07.2025;Москва;L. Chen;Тариф Базовый;38;722 466,88;510 958,16;29,3%
24.03.2025;Екатеринбург;L. Chen;Доп. место;8;9 581,15;4 627,53;51,7%
13.04.2025;Москва;R. Silva;Доп. место;24;192 004,56;113 674,70;40,8%
08.09.2025;Екатеринбург;L. Chen;Тариф Команда;6;108 878,59;87 674,92;19,5%
24.10.2025;Москва;S. Kim;Тариф Команда;9;254 203,61;197 299,96;22,4%
07.07.2025;Москва;L. Chen;Доп. место;23;225 682,87;144 158,39;36,1%
12.10.2025;Екатеринбург;L. Chen;Тариф Команда;28;846 095,15;354 246,82;58,1%
13.01.2025;Москва;D. Orlov;Тариф Базовый;23;853 912,18;622 511,37;27,1%
02.10.2025;Санкт-Петербург;L. Chen;Тариф Команда;23;514 564,06;422 436,78;17,9%
04.02.2025;Екатеринбург;D. Orlov;Тариф Базовый;3;128 698,25;62 108,67;51,7%
23.03.2025;Санкт-Петербург;M. Ivanova;Доп. место;1;8 219,52;3 581,31;56,4%
26.08.2025;Москва;M. Ivanova;Тариф Про;29;731 159,12;612 174,86;16,3%
08.06.2025;Санкт-Петербург;D. Orlov;Тариф Про;12;42 632,97;29 264,72;31,4%
03.05.2025;Санкт-Петербург;A. Petrov;Тариф Базовый;13;120 312,06;78 262,89;35,0%
15.02.2025;Екатеринбург;R. Silva;Тариф Команда;34;115 335,41;72 294,79;37,3%
23.09.2025;Екатеринбург;L. Chen;Тариф Команда;22;66 845,50;32 395,71;51,5%
22.09.2025;Екатеринбург;D. Orlov;Тариф Базовый;27;811 905,19;506 532,76;37,6%
21.06.2025;Казань;D. Orlov;Тариф Базовый;35;1 394 882,61;1 104 152,13;20,8%
20.03.2025;Екатеринбург;D. Orlov;Тариф Про;34;1 429 168,09;826 249,92;42,2%
14.05.2025;Екатеринбург;S. Kim;Тариф Базовый;30;815 910,92;437 216,60;46,4%
18.10.2025;Москва;L. Chen;Тариф Про;40;277 527,41;234 218,42;15,6%
15.01.2025;Санкт-Петербург;R. Silva;Тариф Базовый;40;968 451,72;458 346,53;52,7%
09.05.2025;Санкт-Петербург;R. Silva;Тариф Базовый;22;521 484,82;338 029,90;35,2%
19.02.2025;Казань;D. Orlov;Тариф Про;36;609 283,51;480 480,35;21,1%
22.04.2025;Казань;S. Kim;Тариф Команда;23;999 712,84;784 907,56;21,5%
15.08.2025;Санкт-Петербург;A. Petrov;Доп. место;38;1 130 541,46;474 822,06;58,0%
05.02.2025;Санкт-Петербург;L. Chen;Тариф Про;8;63 524,37;52 110,17;18,0%
31.08.2025;Москва;S. Kim;Тариф Базовый;20;444 409,75;333 365,09;25,0%
24.03.2025;Казань;A. Petrov;Доп. место;1;6 629,65;2 787,49;58,0%
02.02.2025;Екатеринбург;S. Kim;Тариф Команда;36;1 076 630,11;668 853,72;37,9%
23.01.2025;Екатеринбург;D. Orlov;Доп. место;10;83 730,67;60 752,92;27,4%
12.02.2025;Новосибирск;R. Silva;Тариф Команда;39;1 376 697,46;1 156 448,08;16,0%
03.06.2025;Санкт-Петербург;A. Petrov;Тариф Команда;5;38 845,93;23 014,59;40,8%
12.01.2025;Казань;L. Chen;Тариф Про;22;327 881,52;147 973,42;54,9%
14.02.2025;Екатеринбург;R. Silva;Доп. место;5;199 352,85;97 947,06;50,9%
04.09.2025;Санкт-Петербург;S. Kim;Тариф Про;15;184 823,96;129 783,72;29,8%
01.07.2025;Казань;A. Petrov;Тариф Базовый;30;305 787,19;234 714,90;23,2%
24.06.2025;Новосибирск;S. Kim;Тариф Базовый;28;871 638,97;351 700,41;59,7%
16.03.2025;Новосибирск;D. Orlov;Доп. место;16;297 206,97;205 550,84;30,8%
07.07.2025;Новосибирск;R. Silva;Тариф Команда;40;1 288 056,39;654 368,94;49,2%
11.05.2025;Екатеринбург;L. Chen;Тариф Базовый;40;1 657 210,46;913 888,71;44,9%
14.09.2025;Новосибирск;A. Petrov;Тариф Базовый;39;647 187,02;399 473,39;38,3%
19.04.2025;Новосибирск;A. Petrov;Тариф Базовый;16;623 167,64;442 127,05;29,1%
10.03.2025;Казань;D. Orlov;Доп. место;33;41 206,62;22 676,69;45,0%
26.06.2025;Казань;L. Chen;Доп. место;22;65 511,28;52 079,23;20,5%
01.05.2025;Санкт-Петербург;D. Orlov;Доп. место;26;43 019,64;24 024,50;44,2%
02.01.2025;Санкт-Петербург;M. Ivanova;Тариф Базовый;26;756 405,59;401 075,66;47,0%
11.09.2025;Новосибирск;M. Ivanova;Тариф Про;37;494 728,00;395 834,37;20,0%
16.06.2025;Санкт-Петербург;L. Chen;Тариф Команда;14;65 826,61;36 399,78;44,7%
12.04.2025;Казань;A. Petrov;Тариф Базовый;26;416 841,52;252 622,49;39,4%
02.09.2025;Екатеринбург;D. Orlov;Тариф Базовый;5;217 809,51;89 764,72;58,8%
19.10.2025;Новосибирск;A. Petrov;Доп. место;14;275 852,48;234 116,59;15,1%
03.01.2025;Санкт-Петербург;D. Orlov;Тариф Про;17;708 600,76;590 583,03;16,7%
27.07.2025;Казань;R. Silva;Тариф Команда;31;1 254 419,52;1 054 590,81;15,9%
08.09.2025;Москва;A. Petrov;Тариф Базовый;12;349 941,40;257 484,32;26,4%
14.05.2025;Екатеринбург;L. Chen;Тариф Базовый;4;55 351,62;36 655,39;33,8%
01.09.2025;Новосибирск;L. Chen;Тариф Базовый;32;733 386,10;371 255,78;49,4%
04.07.2025;Казань;M. Ivanova;Тариф Про;12;382 144,02;294 239,50;23,0%
25.09.2025;Екатеринбург;M. Ivanova;Тариф Команда;20;370 405,45;213 334,93;42,4%
13.09.2025;Санкт-Петербург;S. Kim;Доп. место;23;727 842,63;471 865,57;35,2%
24.01.2025;Казань;S. Kim;Тариф Команда;20;373 602,33;214 634,65;42,5%
18.08.2025;Екатеринбург;M. Ivanova;Тариф Базовый;5;141 878,45;89 212,74;37,1%
11.10.2025;Екатеринбург;R. Silva;Тариф Базовый;8;98 371,49;72 472,10;26,3%
24.05.2025;Новосибирск;D. Orlov;Тариф Команда;3;21 003,17;12 163,57;42,1%
24.10.2025;Новосибирск;M. Ivanova;Доп. место;39;1 112 319,44;790 219,32;29,0%
06.06.2025;Новосибирск;L. Chen;Тариф Про;14;253 675,95;165 563,39;34,7%
04.05.2025;Казань;M. Ivanova;Тариф Базовый;8;101 124,62;56 591,19;44,0%
27.05.2025;Казань;R. Silva;Доп. место;22;333 810,98;141 817,17;57,5%
13.01.2025;Новосибирск;D. Orlov;Доп. место;33;487 856,37;255 878,63;47,6%
