Period,Plant,Line,Batch ID,Fiscal Year,Units Produced,Units Scrapped,Scrap Rate,Output Value,Material Cost,Labour Cost,Overhead,Cost Per Unit,OEE,Availability,Downtime Minutes,Shift Count,Headcount
01.03.2025,Plant B,L4,B669819,2025,65704,1970,0.03,478680.63,268415.41,29729.5,58876.97,5.4338,0.5008,0.8551,235,32,19
01.03.2025,Plant C,L1,B868654,2025,26454,1414,0.0535,233315.12,89332.28,12958.87,20549.72,4.6436,0.809,0.7931,1652,60,8
01.03.2025,Plant C,L2,B787038,2025,59911,3432,0.0573,481125.05,167786.21,43573.7,48086.95,4.3305,0.5679,0.8898,1303,30,21
01.03.2025,Plant C,L3,B606936,2025,45300,2589,0.0572,333719.41,195368.53,37859.7,14048.49,5.4586,0.5392,0.7504,773,44,13
01.03.2025,Plant C,L4,B195501,2025,7487,226,0.0302,64750.3,18418.26,2342.75,3582.44,3.2514,0.8071,0.7738,924,21,31
01.04.2025,Plant A,L1,B169719,2025,39582,989,0.025,385800.32,166356.12,41779.14,15742.17,5.656,0.5161,0.7979,1692,51,39
01.04.2025,Plant A,L2,B927683,2025,81919,4702,0.0574,765101.88,355367,47744.1,41468.49,5.4271,0.8094,0.7111,73,60,30
01.04.2025,Plant A,L3,B251762,2025,35237,1358,0.0385,180728.54,49437.34,29857.44,12396.75,2.6021,0.5694,0.9447,1065,43,17
01.04.2025,Plant A,L4,B265357,2025,74455,3029,0.0407,473392.7,321119.44,40062.81,57209.01,5.6194,0.8587,0.9751,38,25,39
01.04.2025,Plant B,L1,B585432,2025,19042,616,0.0323,137464.14,58536.4,10515.26,15548.67,4.4428,0.5068,0.9216,701,54,29
01.04.2025,Plant B,L2,B359006,2025,17209,68,0.004,78310.34,73324.7,6217.19,4005.02,4.8548,0.7085,0.8279,690,40,6
01.04.2025,Plant B,L3,B184119,2025,47819,930,0.0194,457787.37,96449.78,32508.86,21268.14,3.1416,0.6311,0.841,833,40,14
01.04.2025,Plant B,L4,B715045,2025,80484,2284,0.0284,496197.57,130209.21,30303.67,68224.33,2.842,0.4557,0.768,234,40,32
01.04.2025,Plant C,L1,B754541,2025,16402,762,0.0465,155212.04,56066.62,7134.74,13380.04,4.669,0.5592,0.9331,1450,55,12
01.04.2025,Plant C,L2,B923096,2025,73218,1193,0.0163,393437.18,98424.8,76975.9,24144.48,2.7254,0.5634,0.8705,838,57,18
01.04.2025,Plant C,L3,B670348,2025,4011,157,0.0391,38827.8,6424.56,1206.26,2101.37,2.4264,0.5221,0.958,8,48,27
01.04.2025,Plant C,L4,B794517,2025,64040,3324,0.0519,362751.01,252864.42,26886.85,17855.35,4.6472,0.9136,0.9795,1596,51,16
01.05.2025,Plant A,L1,B829817,2025,60146,3403,0.0566,492375.15,175245.41,20521.7,46352.26,4.0255,0.752,0.9635,761,46,16
01.05.2025,Plant A,L2,B952196,2025,73744,2900,0.0393,390965.85,305175.54,52876.26,52685.11,5.5698,0.9037,0.7433,569,33,12
01.05.2025,Plant A,L3,B398195,2025,70294,2464,0.0351,560983.58,155425.45,62320.2,40321.71,3.6713,0.5394,0.9345,212,36,38
01.05.2025,Plant A,L4,B261118,2025,74098,274,0.0037,755452.7,140154.99,35060.78,47482.95,3.0055,0.8998,0.8062,1173,61,30
01.05.2025,Plant B,L1,B681306,2025,88645,3212,0.0362,912540.81,150223.64,74466.78,38440.58,2.9684,0.7066,0.9076,1397,60,24
01.05.2025,Plant B,L2,B645704,2025,35916,860,0.0239,158987.31,92340.07,31764.18,10251.28,3.7408,0.7599,0.9154,1243,24,21
01.05.2025,Plant B,L3,B302034,2025,51341,1348,0.0263,433556.53,162110.24,48049.82,18236.2,4.4486,0.7515,0.8675,1661,60,15
01.05.2025,Plant B,L4,B693050,2025,4777,153,0.032,23998.33,10760.45,1543.61,3449.88,3.2979,0.7538,0.8432,361,51,14
01.05.2025,Plant C,L1,B710256,2025,30979,277,0.0089,313170.11,91512.61,15158.3,22872.62,4.1817,0.9178,0.7978,169,60,11
01.05.2025,Plant C,L2,B228497,2025,73478,449,0.0061,752163.41,103100.76,33727.6,28092.69,2.2445,0.6168,0.8313,865,35,33
01.05.2025,Plant C,L3,B952288,2025,38426,1679,0.0437,222763.06,65211.32,28025.67,29888.12,3.2042,0.5276,0.9636,325,58,4
01.05.2025,Plant C,L4,B241584,2025,82200,661,0.008,757203.68,107604.29,65767.85,70844.84,2.971,0.6186,0.7461,129,43,25
